date,open,high,low,close,volume,vwap,transactions,ticker
2020-09-11,335.82,336.97,331.0,334.06,84816970.0,334.1812,510131,SPY
2020-09-14,337.49,340.38,336.93,338.46,65104879.0,338.425,350028,SPY
2020-09-15,341.12,342.02,339.02,340.17,52355231.0,340.6847,295486,SPY
2020-09-16,341.51,343.06,338.52,338.82,82068163.0,340.5957,394865,SPY
2020-09-17,333.56,337.6996,332.991,335.84,91738710.0,335.4293,495503,SPY
2020-09-18,335.37,335.49,327.97,330.65,106074745.0,332.0557,499078,SPY
2020-09-21,325.7,327.13,321.73,326.97,99426745.0,324.5935,618663,SPY
2020-09-22,328.57,330.9,325.86,330.3,63772743.0,328.5876,364647,SPY
2020-09-23,330.9,331.2,322.1,322.64,92774530.0,325.8847,464348,SPY
2020-09-24,321.22,326.797,319.8,323.5,76811301.0,323.3855,510360,SPY
2020-09-25,322.58,329.58,321.64,328.73,71197640.0,326.1695,414135,SPY
2020-09-28,333.22,334.96,332.15,334.19,64606703.0,333.4203,326431,SPY
2020-09-29,333.97,334.77,331.6209,332.37,51672107.0,333.0532,307039,SPY
2020-09-30,333.09,338.29,332.88,334.89,103984655.0,335.2324,482213,SPY
2020-10-01,337.69,338.74,335.01,337.04,88920514.0,336.466,442961,SPY
2020-10-02,331.7,337.0126,331.19,333.84,89599433.0,334.3858,549062,SPY
2020-10-05,336.06,339.96,336.01,339.76,45887754.0,338.3194,307936,SPY
2020-10-06,339.91,342.17,334.38,334.93,89976445.0,337.7334,569840,SPY
2020-10-07,338.12,341.63,338.09,340.76,57169467.0,340.0076,319317,SPY
2020-10-08,342.85,343.85,341.86,343.78,45411768.0,343.1949,290069,SPY
2020-10-09,345.56,347.35,344.89,346.85,59728963.0,346.1058,328627,SPY
2020-10-12,349.59,354.02,349.06,352.43,79852096.0,351.4883,369352,SPY
2020-10-13,352.28,352.4651,349.09,350.13,73116080.0,351.2438,364272,SPY
2020-10-14,350.75,351.93,347.14,347.93,57902810.0,348.9124,356599,SPY
2020-10-15,343.71,348.02,343.13,347.5,60516632.0,346.0743,377757,SPY
2020-10-16,348.96,350.75,347.1,347.29,89764929.0,348.4023,334653,SPY
2020-10-19,348.65,349.33,341.04,342.01,68654735.0,344.4005,425702,SPY
2020-10-20,343.46,346.88,342.64,343.38,60198355.0,344.3025,418136,SPY
2020-10-21,343.33,348.6847,342.4,342.73,63701022.0,343.6668,410237,SPY
2020-10-22,342.96,345.24,340.65,344.61,55553305.0,343.4078,374621,SPY
2020-10-23,345.93,345.99,343.13,345.78,49285125.0,344.8922,312011,SPY
2020-10-26,342.13,342.98,335.62,339.39,91438344.0,339.4237,554486,SPY
2020-10-27,339.76,340.12,337.99,338.22,65978662.0,338.9144,404986,SPY
2020-10-28,332.1,338.2483,326.13,326.66,127353813.0,329.4803,770547,SPY
2020-10-29,326.91,333.395,325.09,329.98,90534802.0,329.5661,552663,SPY
2020-10-30,328.28,329.69,322.6,326.54,120282921.0,325.7258,730745,SPY
2020-11-02,330.2,332.36,327.24,330.2,86115746.0,329.6057,582406,SPY
2020-11-03,333.69,338.25,333.17,336.03,93227788.0,335.9885,552776,SPY
2020-11-04,340.86,347.94,339.59,343.54,127045985.0,343.6261,781463,SPY
2020-11-05,349.24,352.19,348.86,350.24,82419383.0,350.0009,553429,SPY
2020-11-06,349.93,351.51,347.65,350.16,75149967.0,350.0428,442281,SPY
2020-11-09,363.97,364.38,354.06,354.56,173058434.0,358.0624,926027,SPY
2020-11-10,353.49,355.18,350.51,354.04,85264498.0,353.6521,515126,SPY
2020-11-11,356.4,357.56,355.06,356.67,58481252.0,356.2689,319237,SPY
2020-11-12,355.58,356.7182,351.26,353.21,68151641.0,353.6193,419303,SPY
2020-11-13,355.27,358.9,354.71,358.1,62872273.0,356.8703,347058,SPY
2020-11-16,360.98,362.78,359.59,362.57,74730921.0,361.0941,396583,SPY
2020-11-17,359.97,361.92,358.34,360.62,66151279.0,360.5322,350730,SPY
2020-11-18,360.91,361.5,356.24,356.28,70749822.0,359.0703,361154,SPY
2020-11-19,355.6,358.18,354.15,357.78,60224552.0,356.4749,312727,SPY
2020-11-20,357.5,357.72,355.25,355.33,70365000.0,356.4758,301935,SPY
2020-11-23,357.28,358.82,354.865,357.46,62835493.0,356.9054,308195,SPY
2020-11-24,360.21,363.81,359.29,363.22,62621630.0,362.0528,341551,SPY
2020-11-25,363.13,363.16,361.48,362.66,43657514.0,362.5124,250057,SPY
2020-11-27,363.84,364.18,362.58,363.67,28479072.0,363.5943,148367,SPY
2020-11-30,362.83,363.12,359.17,362.06,83588299.0,361.7081,389734,SPY
2020-12-01,365.57,367.68,364.93,366.02,73961896.0,365.9547,378048,SPY
2020-12-02,364.82,366.96,364.2,366.79,45853208.0,366.0432,275076,SPY
2020-12-03,366.68,368.19,365.5,366.69,62307982.0,366.904,327422,SPY
2020-12-04,367.32,369.85,367.22,369.85,50407740.0,368.8001,253903,SPY
2020-12-07,369.02,369.62,367.72,369.09,49136033.0,368.9234,266704,SPY
2020-12-08,367.72,370.78,367.67,370.17,42268139.0,369.5275,226743,SPY
2020-12-09,370.88,371.05,365.95,366.85,74057133.0,368.1387,396721,SPY
2020-12-10,365.37,367.86,364.43,366.73,57922988.0,366.763,308043,SPY
2020-12-11,364.9,366.7402,363.26,366.3,57626449.0,365.4586,306997,SPY
2020-12-14,368.64,369.8,364.47,364.66,69194228.0,366.6098,353009,SPY
2020-12-15,367.4,369.59,365.92,369.59,64214191.0,367.8386,285593,SPY
2020-12-16,369.82,371.16,368.8676,370.17,58569131.0,369.9409,289564,SPY
2020-12-17,371.94,372.46,371.05,372.24,64330700.0,371.5896,264947,SPY
2020-12-18,370.97,371.15,367.02,369.18,136296347.0,369.4564,476978,SPY
2020-12-21,364.97,378.46,362.03,367.86,96516504.0,366.3107,534195,SPY
2020-12-22,368.21,368.3317,366.03,367.24,48545847.0,367.4513,293480,SPY
2020-12-23,368.28,369.62,367.39,367.57,46266987.0,368.373,257917,SPY
2020-12-24,368.08,369.03,367.45,369.0,26440653.0,368.3937,134314,SPY
2020-12-28,371.74,372.59,371.07,372.17,39196359.0,371.7342,217155,SPY
2020-12-29,373.81,374.0,370.83,371.46,53922979.0,371.9064,281873,SPY
2020-12-30,372.34,373.1,371.57,371.99,47453783.0,372.0897,217865,SPY
